column_a,player_id,year,rnd,pick,tm,player,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
1988Steve Johnson,JohnSt21,1988,6,154,NWE,Steve Johnson,No,TE,TE,0,23,1988,0,0,0,0,0,14,,,,,,,,,1,5,0,,,Virginia Tech,
1988Warren Williams,WillWa00,1988,6,155,PIT,Warren Williams,No,RB,RB,10,23,1993,0,0,1,9,9,71,,,,,,251,1191,8,38,339,2,,,Miami (FL),
1988George Cooper,,1988,6,156,MIA,George Cooper,No,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,Ohio St.,
1988Kurt Crain,,1988,6,157,HOU,Kurt Crain,No,LB,LB,0,,,0,0,0,,,,,,,,,,,,,,,,,Auburn,
1988Rich Romer,RomeRi20,1988,7,168,CIN,Rich Romer,No,LB,LB,0,22,1989,0,0,0,0,0,9,,,,,,,,,,,,,,Union (NY),
1988Troy Stedman,StedTr20,1988,7,170,KAN,Troy Stedman,No,LB,LB,0,23,1988,0,0,0,0,0,5,,,,,,,,,,,,,,Washburn,
1988Gary Patton,,1988,7,172,NYJ,Gary Patton,No,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,East. Michigan,
1988Pat Kelly,KellPa21,1988,7,174,DEN,Pat Kelly,No,TE,TE,0,22,1991,0,0,0,0,0,41,,,,,,,,,4,17,0,,,Syracuse,
1988Tim Borcky,,1988,7,177,BUF,Tim Borcky,No,T,T,0,,,0,0,0,,,,,,,,,,,,,,,,,Memphis,
1988Kerwin Bell,BellKe00,1988,7,180,MIA,Kerwin Bell,No,QB,QB,0,23,1996,0,0,0,0,,1,5,5,75,1,0,1,-1,0,,,,,,Florida,
1988Darryl Usher,UsheDa20,1988,7,181,NWE,Darryl Usher,No,WR,WR,0,23,1989,0,0,0,0,,13,,,,,,,,,1,8,0,,,Illinois,
1988Marc Zeno,,1988,7,182,PIT,Marc Zeno,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,Tulane,
1988Bo Wright,,1988,7,184,BUF,Bo Wright,No,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,Alabama,
1988Tracey Eaton,EatoTr20,1988,7,187,HOU,Tracey Eaton,No,DB,DB,4,23,1993,0,0,0,5,2,60,,,,,,,,,,,,4,,Portland,
1988Thane Gash,GashTh20,1988,7,188,CLE,Thane Gash,No,DB,DB,15,23,1992,0,0,2,14,13,64,,,,,,,,,,,,4,2,East Tennessee St.,
1988Garry Frank,,1988,7,192,DEN,Garry Frank,No,G,G,0,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi St.,
1988Curtis Maxey,MaxeCu20,1988,8,195,CIN,Curtis Maxey,No,DE,DE,0,23,1989,0,0,0,0,0,5,,,,,,,,,,,,,,Grambling St.,
1988Alfredo Roberts,RobeAl00,1988,8,197,KAN,Alfredo Roberts,No,TE,TE,5,23,1992,0,0,2,5,3,80,,,,,,,,,48,450,2,,,Miami (FL),
1988Keith Neubert,NeubKe00,1988,8,203,NYJ,Keith Neubert,No,TE,TE,2,24,1989,0,0,0,2,2,17,,,,,,,,,28,302,1,,,Nebraska,
1988John Hagy,HagyJo20,1988,8,204,BUF,John Hagy,No,DB,DB,6,22,1990,0,0,1,6,6,28,,,,,,,,,,,,2,,Texas,
1988Mark Nichols,,1988,8,209,PIT,Mark Nichols,No,DT,DT,0,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,
1988Mike Hinnant,HinnMi20,1988,8,211,PIT,Mike Hinnant,No,TE,TE,0,22,1992,0,0,0,0,0,36,,,,,,,,,4,51,0,,,Temple,
1988Harry Galbreath,GalbHa20,1988,8,212,MIA,Harry Galbreath,No,G,G,41,23,1996,0,0,9,60,31,141,,,,,,,,,,,,,,Tennessee,
1988Jeff Wright,WrigJe21,1988,8,213,BUF,Jeff Wright,No,NT,DT,23,25,1994,0,0,5,30,30,98,,,,,,,,,,,,1,31.5,Central Missouri St.,
1988David Viaene,ViaeDa20,1988,8,214,HOU,David Viaene,No,C,C,4,23,1992,0,0,0,4,,21,,,,,,,,,,,,,,Minnesota-Duluth,
1988J.J. Birden,BirdJJ00,1988,8,216,CLE,J.J. Birden,No,WR,WR,29,23,1996,0,0,5,31,,93,,,,,,,,,244,3441,17,,,Oregon,
1988Louis Cheek,CheeLo20,1988,8,220,MIA,Louis Cheek,No,T,T,8,23,1991,0,0,1,8,3,45,,,,,,,,,,,,,,Texas A&M,
1988Azizuddin Abdur-Ra'oof,,1988,9,224,KAN,Azizuddin Abdur-Ra'oof,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,Maryland,
1988Brandy Wells,,1988,9,226,CIN,Brandy Wells,No,DB,DB,0,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,
1991Nick Bell,BellNi00,1991,2,43,RAI,Nick Bell,No,RB,RB,8,23,1993,0,0,0,8,8,35,,,,,,226,853,7,21,213,0,,,Iowa,
1991Nolan Harrison,HarrNo20,1991,6,146,RAI,Nolan Harrison,No,DE,DE,27,22,2000,0,0,4,35,26,128,,,,,,,,,,,,,22,Indiana,
1988Ralph Tamm,TammRa20,1988,9,230,NYJ,Ralph Tamm,No,G,G,17,22,1999,0,0,2,20,,121,,,,,,,,,,,,,,West Chester,
1991Rocket Ismail,IsmaRa00,1991,4,100,RAI,Rocket Ismail,No,WR,WR,19,21,2001,0,0,5,44,9,126,,,,,,58,423,2,363,5295,28,,,Notre Dame,
1988Carlton Bailey,BailCa20,1988,9,235,BUF,Carlton Bailey,No,LB,LB,18,23,1997,0,0,6,44,14,142,,,,,,,,,,,,1,10,North Carolina,
1988Gordie Lockbaum,,1988,9,236,PIT,Gordie Lockbaum,No,RB,RB,0,,,0,0,0,,,,,,,,,,,,,,,,,Holy Cross,
1988Joey Howard,HowaJo20,1988,9,238,SDG,Joey Howard,No,T,T,1,23,1989,0,0,0,1,1,9,,,,,,,,,,,,,,Tennessee,
1988Jeff Cross,CrosJe00,1988,9,239,MIA,Jeff Cross,No,DE,DE,35,22,1995,0,1,7,49,49,125,,,,,,,,,,,,1,59.5,Missouri,
1988Neil Galbraith,,1988,9,240,NWE,Neil Galbraith,No,DB,DB,0,,,0,0,0,,,,,,,,,,,,,,,,,Central Oklahoma,
1988David Spradlin,,1988,9,241,HOU,David Spradlin,No,LB,LB,0,,,0,0,0,,,,,,,,,,,,,,,,,TCU,
1988Jeff Herrod,HerrJe20,1988,9,243,IND,Jeff Herrod,No,LB,LB,27,22,1998,0,0,8,47,46,153,,,,,,,,,,,,5,14.5,Mississippi,
1988Danny Copeland,CopeDa20,1988,9,244,CLE,Danny Copeland,No,DB,DB,20,22,1993,0,0,3,19,,73,,,,,,,,,,,,2,1,East. Kentucky,
