column_a,player_id,year,rnd,pick,tm,player,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
2001Will Allen,AlleWi20,2001,1,22,NYG,Will Allen,No,DB,DB,31,23,2012,0,0,8,45,25,140,,,,,,,,,,,,455,15,5,Syracuse
2001Deuce McAllister,McAlDe00,2001,1,23,NOR,Deuce McAllister,No,RB,RB,46,22,2008,0,2,4,55,55,97,1,4,12,1,0,1429,6096,49,234,1720,5,13,,,Mississippi
2001Freddie Mitchell,MitcFr00,2001,1,25,PHI,Freddie Mitchell,No,WR,WR,14,22,2004,0,0,0,13,13,63,1,3,25,1,0,2,-4,0,90,1263,5,9,,,UCLA
2001Michael Bennett,BennMi00,2001,1,27,MIN,Michael Bennett,No,RB,RB,32,23,2010,0,1,2,34,29,109,,,,,,842,3703,13,159,1294,6,15,,,Wisconsin
1992Kelvin Harris,,1992,12,312,RAM,Kelvin Harris,No,C,C,0,,,0,0,0,,,,,,,,,,,,,,,,,Miami (FL),
2001Kyle Vanden Bosch,VandKy99,2001,2,34,ARI,Kyle Vanden Bosch,No,DE,DE,20,22,2012,0,3,9,59,8,152,,,,,,,,,,,,332,,58,Nebraska
2001Alge Crumpler,CrumAl00,2001,2,35,ATL,Alge Crumpler,No,TE,TE,32,23,2010,0,4,10,41,38,155,,,,,,,,,373,4743,39,18,,,North Carolina
2001Anthony Thomas,ThomAn01,2001,2,38,CHI,Anthony Thomas,No,RB,RB,24,23,2007,0,0,3,27,22,87,,,,,,1044,3891,23,113,756,1,12,,,Michigan
2001Ken Lucas,LucaKe20,2001,2,40,SEA,Ken Lucas,No,DB,DB,31,22,2009,0,0,6,45,19,138,,,,,,,,,,,,458,25,,Mississippi
2001Robert Ferguson,FergRo00,2001,2,41,GNB,Robert Ferguson,No,WR,WR,16,21,2008,0,0,2,18,15,83,,,,,,1,-8,0,151,1993,13,39,,,Texas A&M
1992Marc Boutte,BoutMa20,1992,3,57,RAM,Marc Boutte,No,DT,DT,23,23,1999,0,0,5,30,10,102,,,,,,,,,,,,2,9,LSU,
2001Kris Jenkins,JenkKr00,2001,2,44,CAR,Kris Jenkins,No,DT,DT,41,22,2010,2,4,6,66,52,108,,,,,,,,,,,,220,,24,Maryland
2001Fred Smoot,SmooFr20,2001,2,45,WAS,Fred Smoot,No,DB,DB,29,22,2009,0,0,8,39,34,129,,,,,,,,,,,,385,21,,Mississippi St.
2001Jamie Winborn,WinbJa20,2001,2,47,SFO,Jamie Winborn,No,LB,LB,12,22,2010,0,0,2,18,11,100,,,,,,,,,,,,276,3,10,Vanderbilt
2001Dominic Raiola,RaioDo20,2001,2,50,DET,Dominic Raiola,No,C,C,25,22,2014,0,0,13,67,67,219,,,,,,,,,,,,5,,,Nebraska
2001Quincy Carter,CartQu00,2001,2,53,DAL,Quincy Carter,No,QB,QB,18,23,2004,0,0,2,17,16,38,542,960,6337,32,37,152,518,3,,,,1,,,Georgia
2001Michael Stone,StonMi20,2001,2,54,ARI,Michael Stone,No,DB,DB,4,23,2006,0,0,0,4,2,52,,,,,,,,,,,,60,,,Memphis
2001Quinton Caver,CaveQu20,2001,2,55,PHI,Quinton Caver,No,LB,LB,5,23,2005,0,0,0,5,1,53,,,,,,,,,,,,52,,,Arkansas
2001Tony Dixon,DixoTo20,2001,2,56,DAL,Tony Dixon,No,DB,DB,9,22,2004,0,0,0,9,9,56,,,,,,,,,,,,90,1,6,Alabama
2001Willie Howard,HowaWi20,2001,2,57,MIN,Willie Howard,No,DE,DE,1,23,2001,0,0,0,1,1,8,,,,,,,,,,,,10,,,Stanford
2001Shaun Rogers,RogeSh99,2001,2,61,DET,Shaun Rogers,No,DT,DT,39,22,2013,0,3,8,59,41,163,,,,,,,,,,,,373,1,37.5,Texas
2001Derrick Burgess,BurgDe99,2001,3,63,PHI,Derrick Burgess,No,DE,DE,22,23,2010,0,2,5,42,9,102,,,,,,,,,,,,215,,52,Mississippi
2001Adrian Wilson,WilsAd99,2001,3,64,ARI,Adrian Wilson,No,DB,DB,28,21,2012,1,5,11,64,64,181,,,,,,,,,,,,721,27,25.5,North Carolina St.
2001Mike Gandy,GandMi20,2001,3,68,CHI,Mike Gandy,No,T,T,25,22,2009,0,0,6,42,8,108,,,,,,,,,,,,5,,,Notre Dame
2001Eric Kelly,KellEr20,2001,3,69,MIN,Eric Kelly,No,DB,DB,9,24,2003,0,0,1,9,9,48,,,,,,,,,,,,137,3,,Kentucky
2001Sedrick Hodge,HodgSe20,2001,3,70,NOR,Sedrick Hodge,No,LB,LB,19,23,2005,0,0,3,18,18,63,,,,,,,,,,,,161,,1,North Carolina
2001Bhawoh Jue,JuexBh20,2001,3,71,GNB,Bhawoh Jue,No,DB,DB,14,22,2007,0,0,1,14,7,79,,,,,,,,,,,,141,6,1.5,Penn St.
2001Torrance Marshall,MarsTo20,2001,3,72,GNB,Torrance Marshall,No,LB,LB,7,24,2004,0,0,0,7,7,51,,,,,,,,,,,,60,,1,Oklahoma
2001Steve Smith,SmitSt01,2001,3,74,CAR,Steve Smith,No,WR,WR,43,22,2016,2,5,12,101,92,213,0,1,0,0,0,57,387,2,1005,14448,79,42,,,Utah
2001Will Peterson,PeteWi20,2001,3,78,NYG,Will Peterson,No,DB,DB,18,22,2010,0,0,3,23,16,97,,,,,,,,,,,,280,8,,West. Illinois
2001Kevan Barlow,BarlKe00,2001,3,80,SFO,Kevan Barlow,No,RB,RB,36,22,2006,0,0,2,36,33,84,,,,,,1022,3984,30,144,1164,3,3,,,Pittsburgh
2001Kenny Smith,SmitKe23,2001,3,81,NOR,Kenny Smith,No,DT,DT,8,24,2009,0,0,0,8,8,36,,,,,,,,,,,,57,,4.5,Alabama
2001Heath Evans,EvanHe00,2001,3,82,SEA,Heath Evans,No,FB,FB,4,22,2010,0,0,0,8,1,143,,,,,,164,579,4,57,439,4,24,,,Auburn
1992Ricky Jones,,1992,8,198,RAM,Ricky Jones,No,QB,QB,0,,,0,0,0,,,,,,,,,,,,,,,,,Alabama St.,
2001Dwight Smith,SmitDw20,2001,3,84,TAM,Dwight Smith,No,DB,DB,25,23,2008,0,0,5,34,18,117,,,,,,,,,,,,393,22,2,Akron
2001Willie Blade,BladWi20,2001,3,93,DAL,Willie Blade,No,DT,DT,8,22,2004,0,0,1,8,7,20,,,,,,,,,,,,12,,1,Mississippi St.
2001Bill Gramatica,gramabil01,2001,4,98,ARI,Bill Gramatica,No,K,K,7,23,2004,0,0,0,7,7,34,,,,,,,,,,,,2,,,South Florida
2001Roberto Garza,GarzRo20,2001,4,99,ATL,Roberto Garza,No,G,G,19,22,2014,0,0,10,60,9,206,,,,,,,,,,,,6,,,Texas A&M-Kingsville
